TERM,PATHWAYS,INTERACTIONS
DNTT,2,24
AEBP1,0,4
A4GALT,2,48
SERPINB7,0,17
KLHL7,0,24
TBX2,1,24
MACROD2,0,15
CPEB4,0,24
Q8NHS3,0,24
PRICKLE2,0,24
Q96C74,0,6
Q96FZ2,0,17
Q96I51,0,24
Q9BZV3,0,2
Q9NSK7,0,0
Q9Y653,0,12
Q9Y3B6,0,13
rap2a,3,24
TBX22,0,12
RC3H1,0,24
BNC2,0,24
DMXL2,0,24
IRF2BPL,0,24
P58872,0,24
PCDH19,2,24
Q76M96,0,20
PLVAP,0,11
Q86VP3,0,15
Q9NPF8,0,17
Q8N0Z2,0,13
Q9NUQ3,1,25
Q9NYP3,0,6
Q9Y3Q7,0,0
A1Z1Q3,0,15
STK17B,0,24
cd276,0,14
EIF2AK4,0,24
CELF4,0,24
EML4,0,24
GDF6,9,16
HMX2,0,3
O95754,0,18
JAZF1,0,24
PEPD,0,49
PRDM12,0,24
Q0P670,0,1
Q9BXI9,0,24
Q6UY11,0,24
Q9H2Y9,0,27
Q9H6A9,0,24
Q9NUM4,0,11
Q9NZV5,0,24
Q9UH65,0,24
Q9UKU6,0,23
taok2,1,27
TBX4,0,17
ATF5,2,25
BANK1,1,10
ESX1,0,8
O15266,0,8
katnal2,0,26
O60391,0,3
Q53F39,0,24
P49335,0,24
Q9H320,0,0
Q9UIA9,0,24
B1AK53,0,11
BARX1,0,12
O75072,0,6
ANGPTL6,0,3
CLPB,0,24
IMPG2,0,2
HEG1,0,7
POU3F4,0,24
FKTN,0,6
IGHMBP2,0,18
R-MMU-1799339,0,0
KLK6,1,25
DRAM2,0,9
TENM3,0,22
EGR4,2,24
DLX2,0,25
ABI3BP,0,22
C12orf65,0,0
prune2,0,24
MYO15A,1,9
abhd2,0,13
HOXA6,0,19
FUT2,3,30
PHACTR1,0,8
GOLGA8A,0,10
PTPRE,2,30
P51816,0,10
NOP16,0,24
pkd1l1,0,2
Q5VW22,0,0
Q5EBN2,0,1
Q6ZMN7,0,24
Q8N196,0,24
Q96IU2,0,9
Q9BQL6,0,22
Q9NYJ7,11,23
Q9NZT2,0,24
Q9P0M6,0,24
RHBDF1,0,17
SHBG,1,45
SNX14,0,22
SMARCAD1,0,24
ZIC4,0,24
CRISPR,0,0
A6NF83,0,0
DIRAS2,0,13
ELK4,14,31
HABP2,0,26
MSX1,2,29
MAGEC1,0,11
NPAS1,0,17
P0CJ86,0,0
P55316,4,35
PIM3,0,8
Q15057,1,20
Q8IZ57,0,16
Q68BL8,0,2
Q9BY12,0,13
Q9NX02,0,24
Q9BY42,0,24
Q9Y3A5,0,24
R-MMU-72706,0,0
Smoc2,1,13
Solanum Lycopersicum,0,0
spic,1,10
TNPO3,0,24
TSPAN8,0,8
VAX2,0,8
ZBTB18,0,27
A0A0B4J248,0,0
GABRD,0,24
HSPB6,0,23
LUZP2,0,3
Npas3,0,15
neat1,0,0
O43719,0,24
O95672,1,22
O75112,0,24
PTP4A3,1,33
Q04771,13,41
Q08AI6,0,1
Q12946,1,19
Q496A3,0,16
Q96RL7,0,24
Q5VW36,0,9
Q9BWV3,0,10
Q9BZW5,0,8
Q9NYQ6,2,24
Q9UNK9,0,16
Q9UPZ3,0,24
SULF1,0,24
TBX20,1,12
ZBED3,0,9
ZFP36L2,0,24
BTBD10,0,24
card14,1,14
ESPN,0,11
EFR3A,0,24
FOXD1,0,25
O43405,0,24
NEFH,0,25
P22676,0,22
P35542,0,3
P81172,0,27
Q3SXY7,0,6
Q6P1M9,0,7
Q8N427,0,8
SHOX2,0,25
P24855,0,7
VSX1,0,24
Q17RH7,0,0
Q9NZS9,0,21
Q4KMZ8,0,48
SCAMP2,1,24
cd248,0,16
CCL8,1,24
HOXB13,1,22
PLIN4,0,5
PDLIM1,1,24
FBXO45,1,25
ZNF804A,0,5
KLK10,0,19
AP5Z1,0,7
CIB2,0,40
CCL18,1,18
FGL1,0,24
SNCG,1,24
NFKBIZ,1,17
AOAH,0,3
USP9Y,0,24
YBX2,0,24
Pcdh9,0,24
ASTN1,0,15
ZNF365,0,8
GREB1L,0,17
BHLHA15,0,24
LYAR,0,24
AAGAB,0,24
B4GALNT3,0,13
A8MT70,0,24
MFSD12,0,10
H7BZ55,0,1
hippo/warts,0,0
megf10,0,24
METTL18,0,24
MSTO1,0,20
P08118,0,19
NOMO1,0,24
P78562,0,25
Q5H8C1,0,4
Q4J6C6,1,24
Q5JU85,0,10
Q6TDP4,0,6
Q7Z465,0,16
Q8N7I0,0,0
Q8N6L1,0,24
Q96HY6,0,25
Q99592,0,27
Q9BVC3,0,23
Q9H8L6,0,15
Q9NX40,0,24
Q9Y6X0,0,24
Q9UG63,0,24
SCRT1,0,0
SKOR1,0,24
SIPA1L3,0,24
TCF15,0,21
TSPAN6,0,24
ZHX2,1,28
bnc1,0,13
A6NDN3,0,1
C4orf48,0,0
DAZ1,0,13
ccm2,2,25
DHDH,2,24
ELMOD2,0,7
DNAI1,0,24
FCGBP,0,17
fdr,0,0
FMN2,0,15
FRA10AC1,0,24
GIGYF2,0,25
HOXB8,0,25
lbh,0,6
MIPEP,0,24
MYO18B,1,14
Myrf,0,15
NOVA1,0,26
O75602,0,11
O95076,0,24
O95932,0,4
O96005,0,24
OTUD6B,1,24
p08f94,0,24
P56177,1,24
pdia2,1,24
PEG3,1,24
POU3F1,0,24
Q08830,0,24
Q14667,0,10
Q6NV74,0,7
Q5TCY1,0,14
Q7Z304,0,17
Q8IUM7,0,20
Q96JQ2,0,18
Q9BQ61,0,24
Q9H3T3,0,4
Q9NPC8,0,24
Q9UEE9,0,24
RASEF,0,6
Q9Y312,0,24
RAX2,0,1
Six5,0,24
RGN,3,23
SLC25A24,0,24
ADGRG6,0,9
atoh7,0,17
BMP8B,9,22
CAMK1D,0,25
CLCC1,0,26
CNPY2,0,25
FNDC5,0,20
EPSTI1,0,24
IPO7,0,25
mex3b,0,24
O14981,0,24
o75365,1,33
O15021,0,6
ogfod1,0,24
P20142,0,8
PARP12,0,24
Q0VAA2,0,3
PM20D1,0,2
Q2VYF4,0,12
Q6ZSM3,0,0
Q5VWZ2,0,6
Q6ZSY5,0,9
q96qp1,0,13
Q96AY3,0,24
Q99985,1,15
Q9UI46,0,24
Q9UPI3,0,10
TBCK,0,11
TCFL5,0,4
TIPARP,0,25
tip]' 'WDR35 [ciliary,0,24
ZNF182,0,1
wdr81,0,24
APEX2,0,24
CEBPE,0,25
CCBE1,0,14
CLPP,0,24
FOXP4,0,24
CTHRC1,2,18
LIMA1,1,24
P55774,1,18
PASD1,0,2
PKHD1,0,24
plekhh2,0,16
Q4V321,0,0
Q12768,0,24
Q52M75,0,0
Q5TZJ5,0,0
Q8N7U6,0,5
Q8TC27,0,23
Q8WY36,0,24
Q8WZ79,0,24
Q96P71,0,22
Q9UQF0,0,3
Smarcal1,1,15
curcumin,1,0
B7ZBB8,0,1
DHRS2,0,25
P80098,1,27
pdxdc1,0,24
Q8TEW8,0,20
Q96LQ0,0,4
Q9NPR2,0,0
Q99698,0,24
Q9ULZ0,0,1
ACTL7A,0,4
ALX4,0,24
C12orf57,0,0
CST7,0,16
Meg3,0,0
FOXS1,0,25
NHS,0,24
RELT,0,24
POTEE,0,24
CPA4,0,24
ISL2,0,13
DNAJC17,0,24
Q8WUY1,0,25
CD133,0,18
CLIC4,0,24
FOXRED1,0,24
serpinb11,0,10
ZFX,0,18
GPR179,0,2
KCNJ13,0,25
KLF8,1,24
FSCN2,0,10
ifi44,0,8
krit1,1,24
VPS13C,0,24
PIEZO2,0,5
LOXHD1,0,6
FAT2,2,15
ULK4,0,12
ANKRD26,0,23
PCNP,0,24
SOSTDC1,1,22
VPS13A,0,24
A4D2P6,0,2
Neurod2,0,24
LYNX1,0,4
NLRP9,0,5
nos1ap,0,24
O95409,0,26
Ovol1,0,24
P07199,1,24
P31271,0,26
pgam4,2,24
PPP1R3A,1,24
PRDM8,0,24
Q13702,0,21
Q14CZ0,0,0
Q5R3I4,0,13
Q6Q6R5,0,6
Q6UWI2,0,2
Q6ZT12,0,24
Q7RTY1,0,11
Q6ZWK6,0,8
Q7Z2R9,0,0
Q7Z7G0,0,22
Q8TF17,0,8
Q99720,0,29
q96j86,0,7
Q9HBM0,0,24
Q9HCM7,0,13
Q9NS39,0,24
Q9UEU5,0,0
Q9UHR4,1,24
Q9Y5I3,2,22
Q9Y328,0,24
SIM2,0,24
TARBP1,0,24
SPATA5,0,26
TLE6,1,9
TMEM106B,0,11
TUT1,0,24
ZC3H14,0,24
USP29,0,5
ZNF185,0,19
A1A4Y4,0,10
BMP2K,0,24
DHX33,0,23
CAMK1G,0,13
ENOSF1,0,5
ETV2,0,2
GNB1L,0,24
hoxd11,0,12
IFI44L,0,24
KLF16,0,24
KPTN,0,24
MPLKIP,0,24
MACC1,0,7
NBPF3,0,10
O14813,0,15
NCAM2,0,19
O75781,0,24
O94761,0,24
O95834,0,24
P23942,0,4
P02689,0,10
P35716,0,16
P36955,0,26
P41162,1,24
P52823,0,27
P54277,0,24
P59773,0,0
PARP3,1,24
PDZD2,0,24
PDZD8,0,24
PVT1,0,0
PHPT1,2,24
Q13286,0,26
Q13641,0,24
Q15032,0,24
Q1HG44,0,0
Q16626,0,24
Q49AJ0,0,2
Q68DQ2,0,11
Q6DKI7,0,15
Q6NUT3,0,10
Q6P087,0,24
Q6UXP3,0,0
Q7L8C5,0,8
Q8N7L0,0,2
Q8NBS3,0,42
Q8TAG5,0,11
Q8TB36,0,24
Q8TD33,0,0
Q8WTW4,0,24
Q96BJ8,0,24
Q8WUA8,0,25
Q96IZ6,0,24
Q96QF7,0,2
Q96N23,0,6
Q96SZ6,0,24
Q99680,0,17
Q9BR26,0,0
Q9BSG0,0,17
Q9BXM9,0,6
Q9H4L7,0,24
Q9H579,0,3
Q9NPH6,0,1
Q9NR23,9,17
R-MMU-975956,0,0
Q9P281,0,16
SACS,0,24
SMCHD1,0,24
SLFN5,0,9
TENM2,0,5
TFEC,1,24
TESPA1,0,14
95631,0,0
BARHL1,0,24
BCAM,4,24
cenpb,1,24
CLIC5,0,23
FASTKD2,0,24
CORO2B,0,24
FOXJ3,0,25
hamp,0,27
frem1,0,4
HMX1,0,24
lrrc32,0,14
MYLK3,4,24
O60667,0,11
NUSAP1,0,24
O75493,0,24
ONECUT2,0,24
OTOGL,0,4
P23759,1,24
P04554,0,8
P53701,1,24
POLR2J2,3,4
PRDM2,0,24
Q14190,0,24
Q4G0A6,0,25
Q4W5N1,0,0
Q52LD8,0,24
Q6P0Q8,0,24
Q6UW63,0,0
Q6Y7W6,0,25
Q86UD1,0,21
Q92583,2,24
Q8WY54,1,24
Q96A23,0,24
Q9H501,0,24
Q9HAC7,0,16
Q9UBC7,0,3
Q9HAE3,0,2
RGPD3,0,15
SLC22A10,0,1
Rspry1,0,24
SLC43A3,0,18
Tfcp2l1,0,9
SOX8,0,20
zbtb20,0,25
Zswim6,0,7
CNN3,0,25
dd3,7,0
DCHS1,2,24
DPP9,0,24
F7VJQ1,0,0
FCGRT,0,24
LHX1,0,24
GPR85,0,24
MIDN,0,13
not,0,0
OTOG,0,1
P01266,1,17
P08185,0,25
PCLO,0,15
Q96AM1,0,24
TNP1,0,10
Q9UGT4,0,23
ADAMDEC1,0,0
Alx3,0,24
arglu1,0,24
B0I1T2,1,9
CORO7,0,25
isx,0,6
LAMP3,0,24
36951,0,0
O43490,0,18
O75445,0,18
ODF3,0,4
Q9H8H2,0,24
P53814,0,24
STXBP5L,0,24
tmem138,0,3
ZBTB34,0,12
ANKAR,0,2
ANKK1,0,6
C2CD4B,0,0
CDH19,2,24
Emx1,0,12
FOXE1,0,24
GZMK,0,15
IFIT5,0,24
MXRA5,0,9
P42127,1,7
R-MMU-2426168,0,0
TMTC1,0,10
FKBP10,0,24
EPG5,0,7
LYL1,0,26
Q9Y5L0,0,24
tppp3,0,16
COX6A2,0,34
AVIL,0,24
hoxc11,0,24
DNAH11,0,6
POU3F3,0,24
UTF1,0,7
BRWD3,0,7
AKAP4,0,11
GRIN3A,5,24
STK40,0,25
CPA1,0,36
RILPL2,0,7
ATXN8OS,0,0
C2orf88,0,0
NPTX1,0,24
SPATA19,0,6
CLMP,0,12
CHTF8,0,18
DHX40,0,25
DDX60,0,11
SPATA16,0,2
RSRC1,0,24
GBX1,0,1
ZFAND3,0,24
CCDC78,0,7
EBF3,0,24
MYO3A,3,16
LMBR1L,0,10
ARL5B,0,24
SEZ6L,0,24
GRINA,1,11
MYPN,1,19
A0A0B4J266,0,0
A4D250,0,0
A4FU01,0,24
A8MYZ5,0,0
A5PKW4,1,25
ADGRA3,0,5
LRIT3,0,6
CARMIL3,0,0
LRRC37A,0,0
myo1f,1,18
NETO2,0,24
NEUROD6,0,24
Nfkbil1,0,24
O15453,0,0
O15335,0,13
O75309,2,24
P0CG34,0,3
O76031,0,24
P0CW24,0,12
P46095,0,2
P60602,1,22
P78414,0,3
P84101,0,24
PGAP3,0,5
PDE3B signalling,70,26
pou2f3,0,11
PRIMA1,0,13
Prrx2,0,24
PTOV1,0,26
Q01995,1,24
Q0VDD8,0,13
Q03938,0,1
q12980,0,24
Q5EBM0,4,48
Q5SQH8,0,0
Q5TC82,0,24
Q5SZK8,0,24
Q6P093,0,0
Q6RI45,0,7
Q6UXI7,0,23
Q6W3E5,0,19
Q6ZMZ3,0,5
Q7Z7L8,0,0
Q7Z7K0,0,16
Q86V85,0,7
Q8IYD9,0,0
Q8IZP9,0,24
Q8N2H3,0,5
Q8NDH6,0,9
Q92954,0,24
Q96EK5,0,24
Q9H3Y0,0,10
Q96IR7,0,20
Q9H4B0,0,2
Q9NT68,0,5
Q9UK85,0,24
Q9Y283,0,25
Q9Y6V0,0,15
RALGAPA1,1,19
rgpd8,0,24
rnf113a,0,24
SLC22A14,0,3
SP6,0,24
SMPX,0,24
STOML1,0,11
SULF2,0,24
TESMIN,0,5
wdr73,0,23
TMEM18,0,5
xpo7,0,24
A0A5B9,0,0
ZDHHC9,0,24
A4D126,0,0
A6NK97,0,0
A6NGN9,0,1
A6NKL6,0,3
BRAC1,0,0
CHD6,0,25
CILP2,0,12
cmtr1,0,24
CRIP1,0,24
CNDP1,5,49
DACT2,1,10
DNASE2B,0,24
DIS3L2,0,16
DSTYK,0,24
EPB41L4A,0,9
FIZ1,0,21
FRMD7,0,2
FOXF2,0,33
FRMPD1,0,17
GALM,4,38
GCM1,0,25
glycosis,0,0
GLCCI1,0,13
HCP5,0,2
HEPACAM,0,15
IFNK,0,2
IQCG,0,9
MXD1,2,27
npas4,0,20
O15178,2,24
O60813,0,0
OVOL2,0,25
P42658,0,6
p35125,1,21
P47972,0,24
periostin,0,0
P50851,0,24
PLEK2,0,5
PRF1,6,27
PTBP2,0,24
Q0VAM2,0,20
Q14154,0,7
Q4W5G0,0,9
Q3MIX3,0,12
Q658N2,0,1
Q6UXS9,1,26
Q6ZNG2,0,2
Q6ZT07,0,22
q6zqr2,0,4
Q86VZ4,0,18
Q8IZM9,0,19
Q8N319,0,0
Q8N413,0,2
Q8N3J2,0,4
Q8N653,0,24
Q8N8D9,0,0
Q8NBF1,0,15
Q8NCC5,0,23
Q8NFN8,0,24
Q8TAU0,0,15
Q8TB73,0,14
Q8WXE0,2,25
Q8TCI5,0,12
Q969G9,2,25
Q96DC8,0,2
Q96HJ9,0,24
Q9BQT9,0,24
Q9H799,0,10
Q9HC35,0,24
Q9ULC0,0,18
Q9UPW0,0,25
Q9Y534,0,5
SELENON,0,24
RP1L1,0,16
SH3TC2,0,8
SHROOM4,0,0
TRIOBP,0,25
zfhx4,0,25
WRAP73,0,24
B2RC85,0,4
DDX10,0,24
DNAH1,0,8
DNAJB12,0,25
EHBP1,0,24
ELF4,1,24
farp1,1,24
glis1,0,15
FEZF1,0,7
IKZF5,0,24
IQSEC3,0,0
INSRR,2,24
ISM1,0,3
KLF14,0,24
LTK,5,33
NPTX2,0,24
NEXN,0,24
O14647,0,26
O95626,0,6
O60502,0,41
O95881,1,48
olfm1,0,25
P02686,1,27
P16442,2,0
P19484,0,24
P50219,0,7
P31267,0,19
P50453,0,26
PHLDB1,0,23
P55008,0,11
PNPLA1,0,11
Q32MK0,4,24
Q0GE19,0,24
Q5GH77,0,1
Q63HQ2,0,23
Q6J272,0,6
Q7Z7C7,0,11
Q70CQ4,1,11
Q86SQ3,0,0
Q8N8Q3,0,16
Q8IXZ3,0,24
Q8WWW8,1,24
Q96HP4,0,17
Q9BWX1,0,25
Q9H078,0,24
Q9H0N0,0,16
Q9HAT2,0,24
Q9NVE5,0,8
Q9NZR4,0,24
RBM19,0,24
STEAP4,0,12
TFPI2,0,11
tmem127,0,11
TM2D3,0,24
ZNF81,0,6
cas9,0,0
dchs2,0,14
DYM,0,23
EPPK1,1,24
FILIP1,1,25
FRAS1,0,24
GALK2,4,24
INIP,0,24
MPZL2,0,20
MLLT11,0,25
NNAT,0,24
O95428,0,17
P48681,0,24
P80075,1,24
P78332,0,24
Q15257,6,27
Q8N1G2,0,24
Q5JUK3,0,2
Q8TAB3,2,24
Q9HBT6,2,23
Q9BX93,6,48
RNPEP,0,15
SIX2,0,24
slamf8,0,6
SYNM,0,24
TM4SF5,0,3
AJAP1,0,5
Ankrd7,0,3
ARVCF,1,24
COX7A1,0,21
Csde1,1,26
HAVCR1,0,25
O14602,0,15
o15075,0,25
P54821,0,24
PDZD7,0,19
Q9UQV4,0,24
RAB40AL,0,12
XPO4,1,24
C11orf80,0,0
CALB2,0,22
FOXN4,0,9
HPS6,0,18
IFRD1,0,24
MOB3B,0,10
P51854,4,25
Q49MI3,0,11
P55000,0,23
R-MMU-69205,0,0
ACTRT2,0,1
ZNF598,0,24
CD5L,0,4
cst1,0,24
DMRTA2,0,1
FUBP3,0,24
ILDR2,0,9
KCNT1,0,2
SEMA3C,1,15
tbxt,2,24
CDK20,0,26
ILDR1,0,6
KDM4E,0,0
PLA2G12B,6,48
SERPINA9,0,1
XIST,0,0
TAPT1,0,24
calr3,0,12
FIBCD1,0,14
PSMG2,0,24
CERKL,0,11
STRC,0,6
PLAC1,0,24
CKAP2,0,24
MAP6,0,9
40238,0,0
PRDM15,2,20
ABCF2,0,24
WDR17,0,9
auxin,1,0
ZNF653,0,10
GLIPR2,0,14
SPAG6,0,11
TESC,0,11
SERPINB9,0,26
CCDC73,0,1
SFMBT2,0,16
WDFY4,0,13
MESP2,1,4
VPS13D,0,14
DRC1,0,3
CPEB1,1,16
PLXDC2,0,24
CADPS2,0,19
A0PJZ0,0,0
SPECC1,0,24
A6NJZ7,0,1
LMLN,0,9
C9J3V5,0,0
LRCH1,0,24
37681,0,0
38047,0,0
MATN2,0,24
MYZAP,0,24
MZF1,0,23
NDFIP2,0,25
NFX1,3,24
O00287,0,24
O00507,0,24
O43299,0,7
O94854,0,0
O43556,0,12
O95425,2,24
OSCP1,0,6
O95479,7,32
P02810,0,8
P0CG43,0,0
P0DPB5,14,24
P15085,0,36
P10155,0,0
P22914,0,13
P23435,0,16
P33764,0,24
P55094,0,0
P49788,0,3
P60321,0,22
PCDHA6,2,24
P83111,0,24
pgm5,4,26
PIM2,0,24
PIWIL3,0,2
PKD1L2,0,5
POTEG,0,0
PRPSAP1,0,24
PYHIN1,0,24
Q13207,1,24
Q10571,0,25
Q13506,1,19
Q2LD37,0,8
Q13685,0,25
Q4VXU2,0,9
Q56UN5,0,4
Q5SV17,0,0
Q66K80,0,0
Q5T655,0,13
Q68CR7,0,3
Q6DJT9,0,24
Q6GMV1,0,0
Q6P996,0,24
Q6PIS1,0,10
Q6UXE8,0,10
Q6UXB0,0,24
Q6ZMY6,0,3
Q7L5Y1,0,5
Q7Z713,0,24
Q86U37,0,0
Q7Z7M0,0,24
Q86UN6,0,17
Q8IYA7,0,15
Q86UW1,0,24
Q8IZA3,0,3
Q8N0X4,1,22
Q8N9Y4,0,1
Q8NEV8,1,15
Q8NDZ2,0,21
Q8WU08,0,7
Q8WUH2,2,24
Q92698,1,16
Q92826,1,22
Q96CT2,0,23
Q96J65,0,3
Q96JG9,0,4
Q96M94,0,24
Q9BQ65,0,24
Q9BQI3,0,23
Q9BTY7,0,24
Q9BZ76,0,24
Q9BYS8,0,11
Q9BZA7,2,24
Q9C0B5,1,24
Q9GZX9,0,10
Q9H6E5,0,24
Q9H0X4,0,8
Q9HA92,1,12
Q9NNZ6,0,1
Q9NPG4,2,24
Q9NSE7,0,0
Q9NZR2,1,24
Q9P275,0,25
Q9P0K8,0,31
Q9P2P6,0,13
Q9UBY8,0,24
Q9UFN0,0,24
Q9UI15,0,24
Q9UMX5,0,24
RASGEF1B,0,20
Q9UNY4,1,24
SGSM2,0,20
SH3PXD2B,0,17
SLC16A4,0,8
SLC38A10,0,17
TANGO2,0,24
thap9,0,5
TGFBR3,3,26
TMPRSS11E,0,2
TMSB15B,0,3
TNS1,2,24
TPPP,2,20
TSC22D2,0,25
TTC7A,0,7
TSPEAR,0,11
WASHC5,0,24
wdfy1,0,24
WISP2,0,0
ZBTB38,0,24
ZFAT,0,5
ZNF536,0,8
zfyve28,1,15
ZNF91,0,5
A0A0C5B5G6,0,0
A0A096LP49,0,1
A4FU69,0,2
A6NJG6,0,0
A6NK06,0,0
BLID,0,17
A8MZ26,0,0
BMP3,10,21
CASKIN2,2,25
C1QTNF9B,0,2
CECR2,0,7
CEP104,0,24
CLEC11A,0,24
CPLANE1,0,10
CRYBB3,0,7
DIRAS1,0,19
CWF19L1,0,24
DNAH3,1,7
DUOXA2,0,0
DPP3,0,24
EMC4,0,24
ETV3,1,24
EN2,1,21
FAM30A,0,0
FAM83G,0,11
FASTK,0,23
FILIP1L,0,5
FNDC1,0,1
foxd4,0,24
FNDC3A,0,24
FOXL1,0,25
glutaminolysis,0,0
FRG2,0,1
GOLGA3,0,24
GTF2IRD2B,0,13
GPR182,0,11
HTRA3,0,3
JPH1,0,24
ITIH5,0,11
KIAA0040,0,9
LHX5,0,21
LRIG3,0,17
LRWD1,0,24
LSG1,0,24
Ly75,0,6
MAGEB16,0,1
MCM9,0,24
MCM3AP,0,24
METTL2B,2,24
MMRN2,0,15
MICAL2,0,24
MORC1,0,11
MRGPRX2,0,3
NHLH1,0,27
NPAT,0,26
NRBP2,0,7
O00192,0,24
O15537,0,14
O60356,1,28
O60393,0,1
O60902,0,25
O75792,0,24
O76087,0,3
O95170,0,0
OTOF,0,10
P09758,0,24
P28039,0,3
P22079,1,42
P28698,0,23
P56559,1,24
PRRC2C,0,25
Q15744,0,25
Q27J81,0,24
Q2WEN9,0,0
Q495N2,0,2
Q4G0P3,0,7
Q5CZC0,0,5
Q5VTT2,0,0
Q6PJF5,0,16
Q6ZS30,0,12
Q6ZW05,0,24
Q7Z6M3,0,13
Q8IXT1,0,17
Q8N1T3,0,0
Q8IZC4,0,12
Q8NB25,0,24
Q8TF64,0,8
Q8WUU4,0,24
Q99865,0,10
Q96A22,1,0
Q9BTE6,0,24
Q9BY71,0,10
Q9C0G6,0,11
Q9H2D6,0,25
Q9H0U9,0,24
Q9H6B4,0,12
Q9NP08,0,24
Q9HCD5,0,24
Q9NS66,0,18
Q9NTU7,0,24
Q9NWM3,0,24
Q9Y222,2,24
Q9UD57,0,0
Q9Y267,0,3
Q9Y2T5,0,25
Q9Y2L6,0,3
Q9Y397,0,24
R-MMU-573389,0,0
RAP1GDS1,2,26
RFPL2,0,17
Scara3,0,24
SLC25A45,0,2
SETD5,0,24
SLF2,0,18
SRFBP1,0,24
SPAG16,0,13
UNC13A,0,9
VIPAS39,0,19
VPS26C,0,24
A0A578,0,0
ZNF644,0,25
A6NNB3,0,0
ASPRV1,0,18
ATL2,0,24
C11orf54,0,0
ATRN,0,12
CDKL2,0,12
CRYGD,0,6
DACH2,0,18
DNAH8,1,7
DNAJC4,0,9
FBXO39,0,0
FBXO36,0,24
FOXQ1,0,25
HORMAD1,0,4
GSDME,0,21
KCNT2,0,24
LYPLAL1,0,6
LACTB,0,24
MN1,0,25
o00522,1,24
NAP1L3,0,12
O14894,0,3
O43240,0,19
O43424,0,24
O60443,0,21
O95238,3,24
p12544,1,24
P20231,0,34
